Address,Subdivision Name,City,Cumulative Days On Market,Days On Market,SqFt,Fireplaces Total,Heating,Year Built,Utilities,Longitude,Latitude,HOA Fee,HOA Fee Frequency,HOA Type,Cooling,County,Covered Spaces,Carport Spaces,Close Date,Close Price,Bath Full,Baths Half,Baths Total,# Dining Areas,# Living Areas,Beds Total,Bath Total,Acres,Current Price
805 Lake View  Ridge ,Meadow Park Add,White Settlement,7,7,621,0,Other,1950,Other,-97.46346,32.752228,,,None,Other,Tarrant,0,0.0,05/25/2022,"$72,000",1,0,1/0,1,1,1,1,0.198,"$72,000"
1639 Mentor  Avenue ,Bellevue,Dallas,10,10,972,0,None,1925,"City Sewer, City Water",-96.799945,32.692283,,,None,None,Dallas,0,0.0,04/27/2022,"$73,500",0,2,0/2,0,1,0,2,0.187,"$73,500"
1810 Fuller  Street ,Orig Town Of Greenville,Greenville,1,1,"1,846",0,None,1952,"City Sewer, City Water",-96.110676,33.144472,,,None,None,Hunt,0,0.0,04/22/2022,"$83,000",1,0,1/0,1,1,3,1,0.129,"$83,000"
1315 Exeter  Avenue ,Belmead,Dallas,0,0,912,0,Other,1946,"City Water, Curbs, Electricity Available, Electricity Connected, Overhead Utilities",-96.806162,32.693751,,,None,Central Air,Dallas,0,0.0,05/18/2022,"$85,000",2,0,2/0,1,0,0,2,0.199,"$85,000"
2606 Fordham  Road ,Lisbon Heights,Dallas,4,4,"1,008",0,Wall Furnace,1938,"City Sewer, City Water",-96.783296,32.705798,,,None,"Ceiling Fan(s), Central Air",Dallas,0,0.0,04/07/2022,"$89,000",1,0,1/0,1,1,2,1,0.203,"$89,000"
3010 Mitchell  Street ,Mineral Heights Sub,Greenville,7,7,642,0,Electric,1956,"City Sewer, City Water",-96.112583,33.109326,,,None,Electric,Hunt,0,0.0,04/08/2022,"$91,000",1,0,1/0,1,1,1,1,0.201,"$91,000"
3700 Guaranty  Street ,Guaranty Investors,Dallas,3,3,940,0,Central,1927,"City Sewer, City Water, Electricity Available",-96.763228,32.762555,,,None,Central Air,Dallas,0,0.0,04/21/2022,"$91,111",1,0,1/0,1,1,2,1,0.069,"$91,111"
909 Mirike  Drive ,Meadow Park Add,White Settlement,10,10,673,0,Other,1951,Septic,-97.463949,32.749006,,,None,None,Tarrant,0,0.0,05/18/2022,"$94,000",1,0,1/0,1,1,1,1,0.241,"$94,000"
1635 Elsie Faye Heggins  Street ,Hatcher Street Heights,Dallas,0,0,"1,206",0,Natural Gas,1940,"City Sewer, City Water, Electricity Available",-96.762945,32.748472,,,None,Other,Dallas,0,1.0,04/27/2022,"$103,000",1,0,1/0,1,1,4,1,0.12,"$103,000"
6278 Ava Court  Drive ,Carver Heights,Fort Worth,5,5,788,0,None,1958,"City Sewer, City Water",-97.221184,32.723447,,,None,None,Tarrant,0,0.0,04/28/2022,"$105,000",1,0,1/0,1,1,3,1,0.161,"$105,000"
6738 State Highway 50  Highway ,J. Hart,Commerce,4,4,"1,224",0,"Propane, Wood Stove",1960,"Cable Available, Rural Water District, Septic",-95.89617,33.276387,,,None,Window Unit(s),Hunt,2,2.0,04/14/2022,"$114,000",1,0,1/0,1,1,3,1,1.0,"$114,000"
303  E 7th  Street ,Snow 2,Kaufman,36,36,"1,242",0,"Central, Electric",1960,"Cable Available, City Sewer, City Water",-96.307192,32.580489,,,None,"Ceiling Fan(s), Central Air, Electric",Kaufman,0,0.0,05/03/2022,"$115,000",1,0,1/0,1,1,3,1,0.152,"$115,000"
524 Maple  Street ,G W Cooper Surv Abs #211,Commerce,56,56,"1,580",0,"Central, Gas Jets",1942,"City Sewer, City Water",-95.892457,33.24226,,,None,"Central Air, Electric",Hunt,5,5.0,05/20/2022,"$115,000",2,1,2/1,1,1,3,3,0.712,"$115,000"
2647  E Ann Arbor  Avenue ,Southgate 02,Dallas,0,0,720,0,None,1949,"City Sewer, City Water",-96.778509,32.701434,,,None,None,Dallas,0,0.0,04/20/2022,"$115,000",1,0,1/0,0,1,2,1,0.156,"$115,000"
99 Lewis  Street ,Park Hill-Rev,Waxahachie,6,6,"1,848",0,"Central, Electric",1975,"City Sewer, City Water",-96.829986,32.38893,,,None,"Central Air, Electric",Ellis,0,0.0,05/12/2022,"$115,000",2,0,2/0,1,1,4,2,0.206,"$115,000"
4619 Stokes  Street ,Hines,Dallas,0,0,768,0,Space Heater,1955,"Asphalt, City Sewer, City Water, Electricity Connected, Individual Water Meter",-96.747874,32.716513,,,None,Wall/Window Unit(s),Dallas,0,0.0,05/19/2022,"$115,000",1,0,1/0,0,1,2,1,0.133,"$115,000"
2815 Baskin  Drive ,Will-Kee,Lancaster,2,2,794,0,"Central, Electric",1953,"City Sewer, City Water, Curbs, Individual Water Meter, Sidewalk",-96.794078,32.617904,,,None,"Central Air, Electric",Dallas,0,0.0,04/21/2022,"$118,000",1,0,1/0,1,1,2,1,0.268,"$118,000"
10474 Apache ,Martin F C Iron Bridge Camp,Wills Point,27,27,900,0,Electric,1986,"All Weather Road, Co-op Electric, Co-op Water, Outside City Limits, Overhead Utilities, Septic",-96.057596,32.846513,$40,Annually,Mandatory,Central Air,Hunt,1,1.0,05/23/2022,"$119,000",1,0,1/0,0,1,2,1,0.246,"$119,000"
637 Pleasant Vista  Drive ,Pleasant Oaks,Dallas,4,4,"1,148",0,Wall Furnace,1955,"Cable Available, City Sewer, City Water, Concrete, Curbs, Sidewalk",-96.642986,32.722883,,,None,None,Dallas,1,1.0,04/28/2022,"$120,000",1,1,1/1,1,1,2,2,0.208,"$120,000"
3710  E 1st  Street ,Riverside Add,Fort Worth,4,4,904,0,None,1912,"City Sewer, City Water",-97.293733,32.764938,,,None,None,Tarrant,0,0.0,04/25/2022,"$120,000",1,0,1/0,1,1,3,1,0.229,"$120,000"
1242 Coleman  Street ,Barnhardt Rsb-B-6 Woolen Mill,Greenville,3,3,"1,132",0,Central,1962,"Cable Available, City Sewer, City Water, Individual Gas Meter",-96.096968,33.124482,,,None,Central Air,Hunt,1,1.0,05/17/2022,"$120,000",1,0,1/0,1,1,3,1,0.14,"$120,000"
1423  E Davis  Avenue ,Highland Park Add,Fort Worth,5,5,"1,000",0,Electric,1934,"City Sewer, City Water",-97.306256,32.721209,,,None,Wall/Window Unit(s),Tarrant,0,0.0,04/28/2022,"$121,000",1,0,1/0,1,1,3,1,0.149,"$121,000"
305  E Travis  Street ,O T ITALY-REV,Italy,12,12,"1,402",0,"Central, Other",1940,"City Sewer, City Water",-96.881619,32.183569,,,None,Central Air,Ellis,1,1.0,04/13/2022,"$125,000",1,0,1/0,1,1,3,1,0.225,"$125,000"
8952 State Highway 50 ,A0625 LANE J,Commerce,24,24,"1,600",1,Other,1950,"Co-op Water, Septic",-95.919856,33.332354,,,None,Other,Hunt,2,0.0,04/29/2022,"$125,000",1,0,1/0,1,2,2,1,7.0,"$125,000"
10604 County Road 369 ,na,Terrell,1,1,"1,624",0,Central,1968,Aerobic Septic,-96.163337,32.717996,,,None,Electric,Kaufman,0,0.0,04/21/2022,"$125,000",2,0,2/0,1,1,3,2,0.48,"$125,000"
2013 Stonewall  Street ,Orig Town Of Greenville,Greenville,3,3,"1,461",0,Gas Jets,1940,"City Sewer, City Water, Natural Gas Available",-96.106868,33.142991,,,None,None,Hunt,0,0.0,05/25/2022,"$125,000",2,0,2/0,1,1,3,2,0.126,"$125,000"
5205 Gordon  Avenue ,Southcrest Add,Fort Worth,7,7,866,0,"Central, Natural Gas",1955,"City Sewer, City Water, Electricity Available",-97.347116,32.670257,,,None,"Central Air, Electric",Tarrant,1,0.0,05/18/2022,"$125,000",1,0,1/0,1,1,3,1,0.255,"$125,000"
1010  W Simonds  Road ,None,Seagoville,0,0,"1,237",0,Other,1945,City Sewer,-96.586344,32.647354,,,None,Other,Dallas,0,0.0,04/29/2022,"$125,000",2,0,2/0,0,1,3,2,0.429,"$125,000"
1100 Marion  Avenue ,Ryan Southeast Add.,Fort Worth,5,5,"1,192",1,Central,1925,City Water,-97.313727,32.716254,,,None,"Central Air, Electric",Tarrant,0,0.0,04/11/2022,"$126,000",1,0,1/0,1,1,3,1,0.138,"$126,000"
4169 Doyle  Lane ,Taylor 02,Lancaster,35,35,"1,326",0,Other,1958,"City Sewer, City Water",-96.782148,32.637483,,,None,Other,Dallas,0,0.0,05/23/2022,"$126,000",1,0,1/0,1,1,3,1,0.205,"$126,000"
8435 Del Monte  Drive ,Oak Hill Park Anx Add,Dallas,4,4,848,0,None,1950,Asphalt,-96.675834,32.73854,,,None,None,Dallas,0,0.0,04/04/2022,"$129,500",1,0,1/0,1,1,2,1,0.183,"$129,500"
1626  E Leuda  Street ,Glenwood Add,Fort Worth,5,5,"1,095",0,Other,1939,City Sewer,-97.305653,32.736269,,,None,Other,Tarrant,1,1.0,05/04/2022,"$130,000",1,0,1/0,1,0,2,1,0.14,"$130,000"
2830 Tanner  Street ,English Place,Dallas,2,2,"1,248",0,None,2017,"City Sewer, City Water, Electricity Available",-96.763076,32.766123,,,None,None,Dallas,0,0.0,04/22/2022,"$130,000",2,0,2/0,1,1,3,2,0.126,"$130,000"
510 Lowrance ,VICK SUB LOT A,Forney,2,2,956,0,Wall Furnace,1965,"City Sewer, City Water",-96.47451,32.743024,,,None,Window Unit(s),Kaufman,0,0.0,05/06/2022,"$130,000",1,0,1/0,1,1,2,1,0.403,"$130,000"
6625 Glesman  Street ,Beckley Heights Rev,Dallas,3,3,787,0,Central,1948,"City Sewer, City Water, Natural Gas Available, Sewer Available",-96.830521,32.667091,,,None,Window Unit(s),Dallas,0,0.0,04/19/2022,"$133,000",1,0,1/0,1,1,3,1,0.236,"$133,000"
7019 Darling  Street ,Eagle Mountain Acres,Azle,12,12,"1,470",0,Other,1960,Other,-97.516732,32.98549,,,None,Other,Tarrant,0,0.0,05/09/2022,"$133,500",1,0,1/0,1,1,3,1,0.184,"$133,500"
3310 Pacesetter  Drive ,Highland Hills,Dallas,16,16,"1,100",0,Electric,1971,"Asphalt, Cable Available, City Sewer, City Water, Curbs, Electricity Connected, Overhead Utilities, Sidewalk",-96.769817,32.663666,,,None,Electric,Dallas,1,0.0,04/20/2022,"$135,000",2,0,2/0,1,1,3,2,0.165,"$135,000"
1417  S Woody  Road ,Blk G 8820,Dallas,4,4,"1,056",0,"Central, Electric",1971,"City Sewer, City Water, Curbs",-96.591176,32.677068,,,None,"Attic Fan, Ceiling Fan(s), Central Air, Electric",Dallas,1,1.0,04/29/2022,"$135,000",1,1,1/1,1,1,3,2,0.193,"$135,000"
2608 Bideker  Avenue ,Wesleyan Hills,Fort Worth,2,2,736,0,"Space Heater, Other",1950,"City Sewer, City Water, Curbs, Individual Gas Meter",-97.287982,32.717818,,,None,"Ceiling Fan(s), Window Unit(s), Other",Tarrant,1,0.0,05/23/2022,"$135,000",1,0,1/0,1,1,2,1,0.207,"$135,000"
3713 Mildred  Lane ,Browning Heights East,Haltom City,1,1,"1,032",0,Gas Jets,1955,"City Sewer, City Water",-97.27702,32.818331,,,None,Electric,Tarrant,1,1.0,04/01/2022,"$140,000",1,0,1/0,1,0,3,1,0.137,"$140,000"
3042 Britton  Drive ,Brightside,Dallas,9,9,"1,032",0,None,1940,"City Sewer, City Water",-96.804913,32.709069,,,None,None,Dallas,0,0.0,04/18/2022,"$140,000",1,0,1/0,1,1,3,1,0.175,"$140,000"
2915 Crenshaw  Avenue ,Burchill Add,Fort Worth,7,7,"1,790",0,Wall Furnace,1952,"City Sewer, City Water",-97.283054,32.718331,,,None,"Ceiling Fan(s), Wall/Window Unit(s)",Tarrant,0,0.0,04/28/2022,"$140,000",2,0,2/0,1,2,3,2,0.161,"$140,000"
3708 Avenue N ,Raef Sub,Fort Worth,25,25,850,0,Space Heater,1942,"Cable Available, City Sewer, City Water",-97.27048,32.723249,,,None,"Ceiling Fan(s), Window Unit(s)",Tarrant,1,1.0,05/20/2022,"$140,000",1,0,1/0,0,1,2,1,0.144,"$140,000"
6138 Dry Creek  Run ,ELISHA TURNER,Terrell,5,5,"1,344",1,"Fireplace(s), Propane",1981,"Co-op Electric, Septic",-96.258954,32.84234,,,None,"Ceiling Fan(s), Wall/Window Unit(s)",Hunt,0,0.0,05/23/2022,"$140,000",2,0,2/0,0,1,3,2,1.0,"$140,000"
3010 Britton  Drive ,Brightside,Dallas,1,1,"1,134",0,Other,1945,"City Sewer, City Water",-96.805526,32.710062,,,None,Zoned,Dallas,1,1.0,05/06/2022,"$140,000",2,0,2/0,1,1,2,2,0.167,"$140,000"
1302 Monroe  Street ,Orig Town Of Commerce,Commerce,5,5,"1,328",0,"Central, Electric",1920,"City Sewer, City Water",-95.902559,33.249775,,,None,"Central Air, Electric",Hunt,2,2.0,04/26/2022,"$142,500",1,0,1/0,1,1,3,1,0.114,"$142,500"
2967 50th  Street ,Sunnyvale,Dallas,6,6,"1,248",0,Central,1954,"City Sewer, City Water",-96.772671,32.700195,,,None,Central Air,Dallas,0,0.0,05/17/2022,"$145,000",1,0,1/0,1,1,3,1,0.179,"$145,000"
2425  E Overton  Road ,Deerpath Village 03,Dallas,6,6,992,0,"Central, Electric",1949,"City Sewer, City Water",-96.790378,32.709097,,,None,"Central Air, Electric",Dallas,0,0.0,05/17/2022,"$145,000",2,0,2/0,1,1,3,2,0.168,"$145,000"
609  E 5th  Street ,Crestview,Ferris,8,8,"1,160",0,Central,1952,"City Sewer, City Water",-96.657587,32.535314,,,None,Central Air,Ellis,2,2.0,05/10/2022,"$145,000",1,0,1/0,1,1,2,1,0.308,"$145,000"
608  W Gilmer  Street ,Ennis-Dvv,Ennis,0,0,"1,137",0,Central,1955,"City Sewer, City Water",-96.637671,32.33241,,,None,"Central Air, Electric",Ellis,1,1.0,05/04/2022,"$145,000",1,1,1/1,1,1,3,2,0.143,"$145,000"
1612 Montrose  Drive ,RIVER OAKS ADDITION,River Oaks,8,8,805,0,Space Heater,1943,"All Weather Road, Asphalt, Cable Available, City Sewer, City Water, Curbs, Electricity Connected, Individual Gas Meter, Individual Water Meter",-97.391778,32.785117,,,None,"Ceiling Fan(s), Wall/Window Unit(s)",Tarrant,0,0.0,04/11/2022,"$147,500",1,0,1/0,1,1,2,1,0.168,"$147,500"
3526 Virginia  Boulevard ,Irwindell,Dallas,3,3,932,0,Electric,1925,"City Sewer, City Water, Electricity Available, Individual Gas Meter, Phone Available",-96.877373,32.740048,,,None,Electric,Dallas,0,0.0,04/22/2022,"$149,000",1,0,1/0,1,1,3,1,0.149,"$149,000"
905  NW Main  Street ,,Ennis,5,5,"1,636",0,Other,1950,"City Sewer, City Water",-96.631901,32.334451,,,None,Other,Ellis,1,1.0,04/08/2022,"$149,957",2,1,2/1,1,1,3,3,0.23,"$149,957"
3120 Livingston  Avenue ,Byers & Mccart Add,Fort Worth,3,3,780,0,None,1925,"City Sewer, City Water",-97.34725,32.70519,,,None,None,Tarrant,1,1.0,04/26/2022,"$150,000",1,0,1/0,1,1,2,1,0.144,"$150,000"
509  E Mason  Street ,Smith J S Add,Fort Worth,3,3,"1,008",0,"Central, Electric",1942,"City Sewer, City Water",-97.322456,32.689664,,,None,"Central Air, Electric",Tarrant,1,0.0,04/21/2022,"$150,000",1,0,1/0,1,1,3,1,0.138,"$150,000"
105  S Mable  Street ,Crabtree #1,Ferris,0,0,924,0,Central,1960,"City Sewer, Co-op Water",-96.661485,32.534483,,,None,Central Air,Ellis,0,0.0,05/03/2022,"$150,000",2,0,2/0,1,1,3,2,0.184,"$150,000"
3111 Melbourn  Street ,Meadow Oaks Add,Haltom City,3,3,768,0,"Electric, Natural Gas",1951,"City Sewer, City Water, Natural Gas Available, Underground Utilities",-97.263597,32.804187,,,None,"Ceiling Fan(s), Electric",Tarrant,0,0.0,04/15/2022,"$152,000",1,0,1/0,1,1,2,1,0.168,"$152,000"
3505 Delafield  Lane ,Kirkdale,Dallas,9,9,"1,064",0,Central,1949,"City Sewer, City Water",-96.675128,32.766947,,,None,Central Air,Dallas,0,0.0,04/13/2022,"$155,000",1,0,1/0,1,1,3,1,0.232,"$155,000"
10028 Santa Garza  Drive ,Shiloh Park 02,Dallas,4,4,"1,128",0,Central,1954,"City Sewer, City Water, Natural Gas Available",-96.660273,32.828145,,,None,Central Air,Dallas,1,1.0,05/03/2022,"$155,000",1,0,1/0,1,1,4,1,0.175,"$155,000"
6017 Grayson ,Melody Oaks Addition,Fort Worth,2,2,"1,450",0,Electric,1958,"City Sewer, City Water",-97.226777,32.705164,,,None,Electric,Tarrant,1,0.0,04/29/2022,"$155,000",2,1,2/1,1,1,4,3,0.17,"$155,000"
1628  E Arlington  Avenue ,Belmont Add,Fort Worth,5,5,672,0,"Central, Electric",1932,"Cable Available, City Sewer, City Water, Electricity Connected",-97.302955,32.72124,,,None,Central Air,Tarrant,0,0.0,05/23/2022,"$155,000",1,0,1/0,0,1,2,1,0.144,"$155,000"
1028  E Bowie  Street ,Morningside Terrace Add,Fort Worth,7,7,"1,254",0,Electric,1952,"City Sewer, City Water, Concrete, Curbs, Individual Water Meter",-97.314422,32.707608,,,None,"Central Air, Electric",Tarrant,0,0.0,05/23/2022,"$155,000",2,0,2/0,1,2,3,2,0.165,"$155,000"
510  E Cober  Drive ,South Manor,Grand Prairie,2,2,"1,029",0,None,1960,None,-96.995001,32.716822,,,None,None,Dallas,0,0.0,04/04/2022,"$156,000",1,0,1/0,1,1,3,1,0.144,"$156,000"
5316 Graham  Street ,Robertson-Hunter Add,Sansom Park,7,7,864,0,Central,1940,"City Sewer, City Water",-97.400034,32.808898,,,None,"Ceiling Fan(s), Central Air",Tarrant,0,0.0,05/05/2022,"$156,000",2,0,2/0,2,1,2,2,0.146,"$156,000"
