City,,,,,,
Addison,"<option value=""",0,""">",Addison,</option>,"<option value=""0"">Addison</option>"
Allen,"<option value=""",1,""">",Allen,</option>,"<option value=""1"">Allen</option>"
Anna,"<option value=""",2,""">",Anna,</option>,"<option value=""2"">Anna</option>"
Arlington,"<option value=""",3,""">",Arlington,</option>,"<option value=""3"">Arlington</option>"
Azle,"<option value=""",4,""">",Azle,</option>,"<option value=""4"">Azle</option>"
Balch Springs,"<option value=""",5,""">",Balch Springs,</option>,"<option value=""5"">Balch Springs</option>"
Bedford,"<option value=""",6,""">",Bedford,</option>,"<option value=""6"">Bedford</option>"
Benbrook,"<option value=""",7,""">",Benbrook,</option>,"<option value=""7"">Benbrook</option>"
Blue Mound,"<option value=""",8,""">",Blue Mound,</option>,"<option value=""8"">Blue Mound</option>"
Blue Ridge,"<option value=""",9,""">",Blue Ridge,</option>,"<option value=""9"">Blue Ridge</option>"
Burleson,"<option value=""",10,""">",Burleson,</option>,"<option value=""10"">Burleson</option>"
Caddo Mills,"<option value=""",11,""">",Caddo Mills,</option>,"<option value=""11"">Caddo Mills</option>"
Carrollton,"<option value=""",12,""">",Carrollton,</option>,"<option value=""12"">Carrollton</option>"
Cedar Hill,"<option value=""",13,""">",Cedar Hill,</option>,"<option value=""13"">Cedar Hill</option>"
Celina,"<option value=""",14,""">",Celina,</option>,"<option value=""14"">Celina</option>"
Colleyville,"<option value=""",15,""">",Colleyville,</option>,"<option value=""15"">Colleyville</option>"
Commerce,"<option value=""",16,""">",Commerce,</option>,"<option value=""16"">Commerce</option>"
Coppell,"<option value=""",17,""">",Coppell,</option>,"<option value=""17"">Coppell</option>"
Crandall,"<option value=""",18,""">",Crandall,</option>,"<option value=""18"">Crandall</option>"
Crowley,"<option value=""",19,""">",Crowley,</option>,"<option value=""19"">Crowley</option>"
Dallas,"<option value=""",20,""">",Dallas,</option>,"<option value=""20"">Dallas</option>"
Dalworthington Gardens,"<option value=""",21,""">",Dalworthington Gardens,</option>,"<option value=""21"">Dalworthington Gardens</option>"
DeSoto,"<option value=""",22,""">",DeSoto,</option>,"<option value=""22"">DeSoto</option>"
Duncanville,"<option value=""",23,""">",Duncanville,</option>,"<option value=""23"">Duncanville</option>"
Edgecliff Village,"<option value=""",24,""">",Edgecliff Village,</option>,"<option value=""24"">Edgecliff Village</option>"
Ennis,"<option value=""",25,""">",Ennis,</option>,"<option value=""25"">Ennis</option>"
Euless,"<option value=""",26,""">",Euless,</option>,"<option value=""26"">Euless</option>"
Everman,"<option value=""",27,""">",Everman,</option>,"<option value=""27"">Everman</option>"
Fairview,"<option value=""",28,""">",Fairview,</option>,"<option value=""28"">Fairview</option>"
Farmers Branch,"<option value=""",29,""">",Farmers Branch,</option>,"<option value=""29"">Farmers Branch</option>"
Farmersville,"<option value=""",30,""">",Farmersville,</option>,"<option value=""30"">Farmersville</option>"
Fate,"<option value=""",31,""">",Fate,</option>,"<option value=""31"">Fate</option>"
Ferris,"<option value=""",32,""">",Ferris,</option>,"<option value=""32"">Ferris</option>"
Forest Hill,"<option value=""",33,""">",Forest Hill,</option>,"<option value=""33"">Forest Hill</option>"
Forney,"<option value=""",34,""">",Forney,</option>,"<option value=""34"">Forney</option>"
Fort Worth,"<option value=""",35,""">",Fort Worth,</option>,"<option value=""35"">Fort Worth</option>"
Frisco,"<option value=""",36,""">",Frisco,</option>,"<option value=""36"">Frisco</option>"
Garland,"<option value=""",37,""">",Garland,</option>,"<option value=""37"">Garland</option>"
Glenn Heights,"<option value=""",38,""">",Glenn Heights,</option>,"<option value=""38"">Glenn Heights</option>"
Grand Prairie,"<option value=""",39,""">",Grand Prairie,</option>,"<option value=""39"">Grand Prairie</option>"
Grapevine,"<option value=""",40,""">",Grapevine,</option>,"<option value=""40"">Grapevine</option>"
Greenville,"<option value=""",41,""">",Greenville,</option>,"<option value=""41"">Greenville</option>"
Haltom City,"<option value=""",42,""">",Haltom City,</option>,"<option value=""42"">Haltom City</option>"
Haslet,"<option value=""",43,""">",Haslet,</option>,"<option value=""43"">Haslet</option>"
Heartland,"<option value=""",44,""">",Heartland,</option>,"<option value=""44"">Heartland</option>"
Heath,"<option value=""",45,""">",Heath,</option>,"<option value=""45"">Heath</option>"
Highland Park,"<option value=""",46,""">",Highland Park,</option>,"<option value=""46"">Highland Park</option>"
Hurst,"<option value=""",47,""">",Hurst,</option>,"<option value=""47"">Hurst</option>"
Hutchins,"<option value=""",48,""">",Hutchins,</option>,"<option value=""48"">Hutchins</option>"
Irving,"<option value=""",49,""">",Irving,</option>,"<option value=""49"">Irving</option>"
Italy,"<option value=""",50,""">",Italy,</option>,"<option value=""50"">Italy</option>"
Josephine,"<option value=""",51,""">",Josephine,</option>,"<option value=""51"">Josephine</option>"
Kaufman,"<option value=""",52,""">",Kaufman,</option>,"<option value=""52"">Kaufman</option>"
Keller,"<option value=""",53,""">",Keller,</option>,"<option value=""53"">Keller</option>"
Kemp,"<option value=""",54,""">",Kemp,</option>,"<option value=""54"">Kemp</option>"
Kennedale,"<option value=""",55,""">",Kennedale,</option>,"<option value=""55"">Kennedale</option>"
Lake Worth,"<option value=""",56,""">",Lake Worth,</option>,"<option value=""56"">Lake Worth</option>"
Lakeside,"<option value=""",57,""">",Lakeside,</option>,"<option value=""57"">Lakeside</option>"
Lancaster,"<option value=""",58,""">",Lancaster,</option>,"<option value=""58"">Lancaster</option>"
Lavon,"<option value=""",59,""">",Lavon,</option>,"<option value=""59"">Lavon</option>"
Leonard,"<option value=""",60,""">",Leonard,</option>,"<option value=""60"">Leonard</option>"
Lone Oak,"<option value=""",61,""">",Lone Oak,</option>,"<option value=""61"">Lone Oak</option>"
Lowry Crossing,"<option value=""",62,""">",Lowry Crossing,</option>,"<option value=""62"">Lowry Crossing</option>"
Lucas,"<option value=""",63,""">",Lucas,</option>,"<option value=""63"">Lucas</option>"
