Year,Crime_Type,Count
2015,Aggravated Assault,680
2015,All Other Larceny,110
2015,Arson,29
2015,Burglary/Breaking & Entering,141
2015,Counterfeiting/Forgery,6
2015,Credit Card/Automated Teller Machine Fraud,13
2015,Destruction/Damage/Vandalism of Property,1673
2015,Drug Equipment Violations,16
2015,Drug/Narcotic Violations,27
2015,Embezzlement,5
2015,Extortion/Blackmail,1
2015,False Pretenses/Swindle/Confidence Game,15
2015,Fondling,3
2015,Impersonation,16
2015,Intimidation,1455
2015,Kidnapping/Abduction,5
2015,Motor Vehicle Theft,22
2015,Murder and Nonnegligent Manslaughter,4
2015,Not Specified,29
2015,Pornography/Obscene Material,1
2015,Purse-snatching,1
2015,Rape,7
2015,Robbery,113
2015,Sexual Assault With An Object,1
2015,Shoplifting,42
2015,Simple Assault,1377
2015,Sodomy,4
2015,Statutory Rape,2
2015,Stolen Property Offenses,3
2015,Theft From Building,27
2015,Theft From Motor Vehicle,31
2015,Theft of Motor Vehicle Parts or Accessories,2
2015,Weapon Law Violations,8
2015,Wire Fraud,2
2016,Aggravated Assault,702
2016,All Other Larceny,85
2016,Arson,43
2016,Burglary/Breaking & Entering,120
2016,Counterfeiting/Forgery,10
2016,Credit Card/Automated Teller Machine Fraud,11
2016,Destruction/Damage/Vandalism of Property,1882
2016,Drug Equipment Violations,21
2016,Drug/Narcotic Violations,45
2016,Embezzlement,2
2016,Extortion/Blackmail,1
2016,False Pretenses/Swindle/Confidence Game,13
2016,Fondling,7
2016,Identity Theft,3
2016,Impersonation,14
2016,Intimidation,1550
2016,Kidnapping/Abduction,10
2016,Motor Vehicle Theft,22
2016,Murder and Nonnegligent Manslaughter,4
2016,Not Specified,30
2016,Pocket-picking,1
2016,Pornography/Obscene Material,2
2016,Rape,16
2016,Robbery,119
2016,Sexual Assault With An Object,2
2016,Shoplifting,41
2016,Simple Assault,1419
2016,Sodomy,3
2016,Statutory Rape,1
2016,Stolen Property Offenses,8
2016,Theft From Building,27
2016,Theft From Motor Vehicle,35
2016,Theft of Motor Vehicle Parts or Accessories,9
2016,Weapon Law Violations,18
2017,Aggravated Assault,798
2017,All Other Larceny,150
2017,Arson,43
2017,Assisting or Promoting Prostitution,2
2017,Betting/Wagering,1
2017,Burglary/Breaking & Entering,151
2017,Counterfeiting/Forgery,15
2017,Credit Card/Automated Teller Machine Fraud,7
2017,Destruction/Damage/Vandalism of Property,2311
2017,Drug Equipment Violations,52
2017,Drug/Narcotic Violations,125
2017,Embezzlement,4
2017,Extortion/Blackmail,3
2017,False Pretenses/Swindle/Confidence Game,19
2017,Fondling,15
2017,Hacking/Computer Invasion,2
2017,"Human Trafficking, Commercial Sex Acts",1
2017,Identity Theft,7
2017,Impersonation,8
2017,Intimidation,1785
