Year,Region_Name,Bias_Desc,Count
2015,Midwest,Anti-American Indian or Alaska Native,79
2015,Midwest,Anti-Arab,6
2015,Midwest,Anti-Asian,19
2015,Midwest,Anti-Atheism/Agnosticism,1
2015,Midwest,Anti-Bisexual,13
2015,Midwest,Anti-Black or African American,451
2015,Midwest,Anti-Catholic,12
2015,Midwest,"Anti-Eastern Orthodox (Russian, Greek, Other)",1
2015,Midwest,Anti-Female,3
2015,Midwest,Anti-Gay (Male),127
2015,Midwest,Anti-Heterosexual,7
2015,Midwest,Anti-Hindu,1
2015,Midwest,Anti-Hispanic or Latino,35
2015,Midwest,Anti-Islamic (Muslim),63
2015,Midwest,Anti-Jewish,51
2015,Midwest,Anti-Lesbian (Female),21
2015,Midwest,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",41
2015,Midwest,Anti-Male,1
2015,Midwest,Anti-Mental Disability,7
2015,Midwest,Anti-Mormon,1
2015,Midwest,"Anti-Multiple Races, Group",30
2015,Midwest,"Anti-Multiple Religions, Group",7
2015,Midwest,Anti-Native Hawaiian or Other Pacific Islander,1
2015,Midwest,Anti-Other Christian,4
2015,Midwest,Anti-Other Race/Ethnicity/Ancestry,54
2015,Midwest,Anti-Other Religion,9
2015,Midwest,Anti-Physical Disability,16
2015,Midwest,Anti-Protestant,17
2015,Midwest,Anti-Sikh,1
2015,Midwest,Anti-Transgender,5
2015,Midwest,Anti-White,187
2015,Northeast,Anti-American Indian or Alaska Native,4
2015,Northeast,Anti-Arab,13
2015,Northeast,Anti-Asian,46
2015,Northeast,Anti-Bisexual,4
2015,Northeast,Anti-Black or African American,385
2015,Northeast,Anti-Catholic,18
2015,Northeast,"Anti-Eastern Orthodox (Russian, Greek, Other)",1
2015,Northeast,Anti-Female,11
2015,Northeast,Anti-Gay (Male),184
2015,Northeast,Anti-Gender Non-Conforming,35
2015,Northeast,Anti-Heterosexual,2
2015,Northeast,Anti-Hindu,4
2015,Northeast,Anti-Hispanic or Latino,54
2015,Northeast,Anti-Islamic (Muslim),70
2015,Northeast,Anti-Jewish,390
2015,Northeast,Anti-Lesbian (Female),46
2015,Northeast,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",14
2015,Northeast,Anti-Male,3
2015,Northeast,Anti-Mental Disability,5
2015,Northeast,"Anti-Multiple Races, Group",12
2015,Northeast,"Anti-Multiple Religions, Group",2
2015,Northeast,Anti-Other Christian,4
2015,Northeast,Anti-Other Race/Ethnicity/Ancestry,51
2015,Northeast,Anti-Other Religion,20
2015,Northeast,Anti-Physical Disability,7
2015,Northeast,Anti-Protestant,3
2015,Northeast,Anti-Transgender,15
2015,Northeast,Anti-White,70
2015,South,Anti-American Indian or Alaska Native,15
2015,South,Anti-Arab,6
2015,South,Anti-Asian,15
2015,South,Anti-Bisexual,7
2015,South,Anti-Black or African American,419
2015,South,Anti-Catholic,3
2015,South,"Anti-Eastern Orthodox (Russian, Greek, Other)",40
2015,South,Anti-Female,2
2015,South,Anti-Gay (Male),150
2015,South,Anti-Gender Non-Conforming,3
2015,South,Anti-Heterosexual,7
2015,South,Anti-Hispanic or Latino,67
2015,South,Anti-Islamic (Muslim),56
2015,South,Anti-Jewish,63
2015,South,Anti-Lesbian (Female),25
2015,South,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",43
2015,South,Anti-Mental Disability,14
2015,South,Anti-Mormon,6
2015,South,"Anti-Multiple Races, Group",38
2015,South,"Anti-Multiple Religions, Group",14
2015,South,Anti-Other Christian,6
2015,South,Anti-Other Race/Ethnicity/Ancestry,84
2015,South,Anti-Other Religion,15
2015,South,Anti-Physical Disability,4
2015,South,Anti-Protestant,10
2015,South,Anti-Sikh,2
2015,South,Anti-Transgender,18
2015,South,Anti-White,212
2015,U.S. Territories,Anti-Native Hawaiian or Other Pacific Islander,1
2015,West,Anti-American Indian or Alaska Native,33
2015,West,Anti-Arab,15
2015,West,Anti-Asian,35
2015,West,Anti-Atheism/Agnosticism,1
2015,West,Anti-Bisexual,7
2015,West,Anti-Black or African American,506
2015,West,Anti-Buddhist,1
2015,West,Anti-Catholic,21
2015,West,"Anti-Eastern Orthodox (Russian, Greek, Other)",7
2015,West,Anti-Female,1
2015,West,Anti-Gay (Male),213
2015,West,Anti-Gender Non-Conforming,3
2015,West,Anti-Heterosexual,3
2015,West,Anti-Hispanic or Latino,145
2015,West,Anti-Islamic (Muslim),71
2015,West,Anti-Jehovah's Witness,1
2015,West,Anti-Jewish,164
2015,West,Anti-Lesbian (Female),46
2015,West,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",107
2015,West,Anti-Male,3
