Year,State,Count,Latitude,Longitude
2015,Alabama,10,32.31823,-86.902298
2015,Alaska,8,66.160507,-153.369141
2015,Arizona,276,34.048927,-111.093735
2015,Arkansas,6,34.799999,-92.199997
2015,California,837,36.778259,-119.417931
2015,Colorado,107,39.113014,-105.358887
2015,Connecticut,93,41.599998,-72.699997
2015,Delaware,11,39,-75.5
2015,District of Columbia,65,38.9072,-77.0369
2015,Florida,72,27.994402,-81.760254
2015,Georgia,44,33.247875,-83.441162
2015,Idaho,34,44.068203,-114.742043
2015,Illinois,90,40,-89
2015,Indiana,63,40.273502,-86.126976
2015,Iowa,6,42.032974,-93.581543
2015,Kansas,62,38.5,-98
2015,Kentucky,188,37.839333,-84.27002
2015,Louisiana,40,30.39183,-92.329102
2015,Maine,38,45.367584,-68.972168
2015,Maryland,41,39.045753,-76.641273
2015,Massachusetts,416,42.407211,-71.382439
2015,Michigan,309,44.182205,-84.506836
2015,Minnesota,109,46.39241,-94.63623
2015,Missouri,100,38.573936,-92.60376
2015,Montana,45,46.96526,-109.533691
2015,Nebraska,19,41.5,-100
2015,Nevada,58,39.876019,-117.224121
2015,New Hampshire,13,44,-71.5
2015,New Jersey,330,39.833851,-74.871826
2015,New Mexico,13,34.307144,-106.018066
2015,New York,500,43,-75
2015,North Carolina,161,35.782169,-80.793457
2015,North Dakota,36,47.650589,-100.437012
2015,Ohio,416,40.367474,-82.996216
2015,Oklahoma,37,36.084621,-96.921387
2015,Oregon,80,44,-120.5
2015,Pennsylvania,57,41.203323,-77.194527
2015,Rhode Island,18,41.742325,-71.742332
2015,South Carolina,57,33.836082,-81.163727
2015,South Dakota,16,44.5,-100
2015,Tennessee,221,35.860119,-86.660156
2015,Texas,191,31,-100
2015,Utah,47,39.41922,-111.950684
2015,Vermont,8,44,-72.699997
2015,Virginia,158,37.926868,-78.024902
2015,Washington,275,47.751076,-120.740135
2015,West Virginia,42,39,-80.5
2015,Wisconsin,45,44.5,-89.5
2015,Wyoming,2,43.07597,-107.290283
2016,Alabama,14,32.31823,-86.902298
2016,Alaska,11,66.160507,-153.369141
2016,Arizona,217,34.048927,-111.093735
2016,Arkansas,12,34.799999,-92.199997
2016,California,931,36.778259,-119.417931
2016,Colorado,105,39.113014,-105.358887
2016,Connecticut,108,41.599998,-72.699997
2016,Delaware,15,39,-75.5
2016,District of Columbia,115,38.9072,-77.0369
2016,Florida,110,27.994402,-81.760254
2016,Georgia,39,33.247875,-83.441162
2016,Idaho,27,44.068203,-114.742043
2016,Illinois,111,40,-89
2016,Indiana,79,40.273502,-86.126976
2016,Iowa,17,42.032974,-93.581543
2016,Kansas,52,38.5,-98
2016,Kentucky,214,37.839333,-84.27002
2016,Louisiana,26,30.39183,-92.329102
2016,Maine,41,45.367584,-68.972168
2016,Maryland,39,39.045753,-76.641273
2016,Massachusetts,399,42.407211,-71.382439
2016,Michigan,406,44.182205,-84.506836
2016,Minnesota,119,46.39241,-94.63623
2016,Mississippi,20,33,-90
2016,Missouri,89,38.573936,-92.60376
2016,Montana,21,46.96526,-109.533691
2016,Nebraska,31,41.5,-100
2016,Nevada,43,39.876019,-117.224121
2016,New Hampshire,29,44,-71.5
